Italian,English
parte,part
storia,history
cercare,search
solamente,only
polizia,police
pensavo,thought
aiuto,help
richiesta,request
genere,kind
mese,month
fratello,brother
lasciare,let
perché,because
mettere,to put
nessuno,no
guinzaglio,leash
loro,them
città,city
ogni,each
parlato,speak
arrivato,come
dovrebbe,should
bambino,baby
molto tempo,long time
ore,hours
andranno,will
mentre,while
rivedere,meet again
nessuna,any
piazza,square
parla,speak
capito,understood
sapevo,knew
erano,were
attenzione,Warning
ecco,here is
potrebbe,could
caso,case
dare,give
tipo,type
loro,their
dato,given
treno,train
corpo,body
luogo,place
occhi,eyes
modo,way
ascolta,listen
cui,whose
trova,find
primo,first
perso,lost
mano,hand
prima,first
lato,side
potere,power
vecchio,old
sii,be
qui,here
mattina,morning
tanto,so much
bambino,child
punto,point
venuto,came
dopo,after
scusa,sorry
venite,come
davanti,in front of
verso,towards
minuti,minutes
richiesto,request
camera,bedroom
messo,placed
bella,beautiful
legge,law
mi piacerebbe,would like to
oggi,today
marito,husband
causa,cause
finalmente,finally
spera,hope
acqua,water
aspettate,Wait
uscito,left
nuovo,new
lavoro,job
fermare,Stop
direbbe,would say
terra,Earth
conto,account
dà,given
lontano,far
fine,end
credere,believe
caro,sweetheart
grande,large
piuttosto,rather
avrà,will have
ragazze,girls
giocare,to play
ufficio,office
